project_gid,task_name,task_gid
1212866299430987,Technical duplicate content,1212868158624521
1212873179591521,www. Duplication,1212868158617021
1212873179591521,Robots.txt,1212873329758976
1212873179591521,XML Sitemaps,1212873329759104
1212873179591521,Noindex  Tags,1212868158626753
1212873179591521,Homepage Duplication,1212873327465225
1212873179591521,Crawlable Navigation,1212873329762318
1212873179591521,JavaScript Frameworks,1212868158551201
1212868158029420,New Backlinks,1212873332133134
1212868158029420,Low Quality Backlinks,1212868158628168
1212868158029420,Deep links,1212868158593359
1212868158029420,Social Shares,1212873332126099
1212872347739609,Accelerated Mobile Pages,1212873329767640
1212873178310021,Mobile Page Load Speed,1212873332126110
1212868158035630,Product Images,1212873316355416
1212868158035630,Intuitive Form Fields,1212868158616758
1212873179601425,Meta Descriptions,1212873332132046
1212873179601425,H1 Tags Missing,1212873332135671
1212873179601425,Excessive H1 Tags,1212873321876196
1212873179601425,Heading Semantics,1212873332127653
1212873179601425,Rich Media,1212873329732600
1212873179601425,Thin Content,1212873332127664
1212873179601425,Content For Discovery Phase,1212873329730073
1212872347734836,Duplicate Local Listings,1212873329769954
1212872347734836,Reviews On Local Listings,1212873329770018
1212873178327015,Analytics Platform,1212868158678071
1212873178327015,Analytics Code Missing,1212873338402850
1212873178327015,Analytics Code Duplication,1212868158680249
1212873178327015,Tagging Position,1212873332135734
1212873178327015,No Tag Management Solution,1212873332135575
